namevariant,preflabel,coords,wikidata,atlasofmutualheritage
"fort Amersfoort","Amersfoort, fort","Point(-3.55 128.3)",http://www.wikidata.org/entity/Q104533993,https://www.atlasofmutualheritage.nl/en/Amersfoort-fort.1c
"fort Amsterdam","Amsterdam, fort (Hila)","Point(-3.58267 128.083)",http://www.wikidata.org/entity/Q2651405,https://www.atlasofmutualheritage.nl/en/Amsterdam-fort-(Hila).2c
"fort Hila","Amsterdam, fort (Hila)","Point(-3.58267 128.083)",http://www.wikidata.org/entity/Q2651405,https://www.atlasofmutualheritage.nl/en/Amsterdam-fort-(Hila).2c
"Kasteel van Verre","Amsterdam, fort (Hila)","Point(-3.58267 128.083)",http://www.wikidata.org/entity/Q2651405,https://www.atlasofmutualheritage.nl/en/Amsterdam-fort-(Hila).2c
"fort Beeverwijk","Beeverwijk, fort","Point(-3.6463 128.765)",http://www.wikidata.org/entity/Q104534005,https://www.atlasofmutualheritage.nl/en/Beeverwijk-fort.3c
"fort Beverwijk","Beeverwijk, fort","Point(-3.6463 128.765)",http://www.wikidata.org/entity/Q104534005,https://www.atlasofmutualheritage.nl/en/Beeverwijk-fort.3c
"fort Beverwijck","Beeverwijk, fort","Point(-3.6463 128.765)",http://www.wikidata.org/entity/Q104534005,https://www.atlasofmutualheritage.nl/en/Beeverwijk-fort.3c
"fort Duurstede","Duurstede, fort","Point(-3.57549 128.659)",http://www.wikidata.org/entity/Q2433724,https://www.atlasofmutualheritage.nl/en/Duurstede-fort.4c
"fort Rotterdam","Rotterdam, fort (Larike)","Point(-3.74948 127.932)",http://www.wikidata.org/entity/Q104534006,https://www.atlasofmutualheritage.nl/en/Rotterdam-fort-(Larike).5c
"fort Larike","Rotterdam, fort (Larike)","Point(-3.74948 127.932)",http://www.wikidata.org/entity/Q104534006,https://www.atlasofmutualheritage.nl/en/Rotterdam-fort-(Larike).5c
"fort Lariké","Rotterdam, fort (Larike)","Point(-3.74948 127.932)",http://www.wikidata.org/entity/Q104534006,https://www.atlasofmutualheritage.nl/en/Rotterdam-fort-(Larike).5c
"fort Laricque","Rotterdam, fort (Larike)","Point(-3.74948 127.932)",http://www.wikidata.org/entity/Q104534006,https://www.atlasofmutualheritage.nl/en/Rotterdam-fort-(Larike).5c
"fort Larique","Rotterdam, fort (Larike)","Point(-3.74948 127.932)",http://www.wikidata.org/entity/Q104534006,https://www.atlasofmutualheritage.nl/en/Rotterdam-fort-(Larike).5c
"fort Larricque","Rotterdam, fort (Larike)","Point(-3.74948 127.932)",http://www.wikidata.org/entity/Q104534006,https://www.atlasofmutualheritage.nl/en/Rotterdam-fort-(Larike).5c
